  dataset        a        v       t0      st0  penalty      fit     time   method
 subj_103_trials_50   0.6493   3.3316   0.3005   0.0000   0.0000 -69.3637   0.0150       ML
 subj_103_trials_60   1.3148   1.8290   0.3032   0.0001   0.0000  -5.8091   0.0380       ML
 subj_104_trials_10   0.7379   1.0830   0.3055   0.0000   0.0000  -4.8300   0.0150       ML
 subj_104_trials_20   1.1745   2.4663   0.4156   0.3350   0.0000  -3.0226   0.0790       ML
 subj_104_trials_30   1.2278   0.9418   0.3437   0.0001   0.0000  10.8942   0.0260       ML
 subj_104_trials_40   0.7785   0.7713   0.3097   0.0001   0.0000 -13.7802   0.0160       ML
 subj_104_trials_50   1.5506   3.8683   0.2981   0.0001   0.0000 -47.4171   0.0320       ML
 subj_104_trials_60   1.6761   0.9296   0.3202   0.0001   0.0000  48.5059   0.0560       ML
 subj_105_trials_10   1.4548   5.7594   0.3050   0.0000   0.0000 -15.2399   0.0000       ML
 subj_105_trials_20   0.8644   3.2138   0.3007   0.0000   0.0000 -21.7643   0.0230       ML
 subj_105_trials_30   0.7611   2.0388   0.3067   0.0000   0.0000 -22.9405   0.0180       ML
 subj_105_trials_40   1.0667   3.0199   0.2902   0.0000   0.0000 -34.1227   0.0240       ML
 subj_105_trials_50   0.8926   3.0625   0.2988   0.0000   0.0000 -50.7270   0.0310       ML
 subj_105_trials_60   0.7801   3.9827   0.2980   0.0000   0.0000 -86.1023   0.0320       ML
 subj_106_trials_10   1.0716   3.8656   0.3057   0.0000   0.0000 -11.8302   0.0050       ML
 subj_106_trials_20   1.1626   2.3262   0.2833   0.0001   0.0000  -9.1915   0.0120       ML
 subj_106_trials_30   0.8779   3.7145   0.3226   0.0892   0.0000 -32.7444   0.0420       ML
 subj_106_trials_40   1.0808   3.1695   0.3203   0.0000   0.0000 -36.4529   0.0260       ML
 subj_106_trials_50   1.6097   2.5234   0.3165   0.1462   0.0000 -13.1274   0.1010       ML
 subj_106_trials_60   0.8600   2.3428   0.3025   0.0001   0.0000 -45.5637   0.0390       ML
 subj_107_trials_10   0.6174   3.5272   0.3537   0.1673   0.0000  -8.9020   0.0210       ML
 subj_107_trials_20   0.6022   4.7779   0.3344   0.0950   0.0000 -29.0315   0.0270       ML
 subj_107_trials_30   0.7719   7.3894   0.3760   0.1378   0.0000 -47.0268   0.0520       ML
 subj_107_trials_40   1.1588   3.0722   0.3482   0.1660   0.0000 -24.7525   0.0970       ML
 subj_107_trials_50   0.7864   3.6546   0.2987   0.0000   0.0000 -65.8405   0.0250       ML
 subj_107_trials_60   1.3610   4.3530   0.3816   0.2055   0.0000 -51.2084   0.1660       ML
 subj_108_trials_10   1.3164   3.1457   0.3087   0.0000   0.0000  -7.7104   0.0080       ML
 subj_108_trials_20   1.5031   1.8504   0.3022   0.0000   0.0000   0.3422   0.0200       ML
 subj_108_trials_30   1.5710   3.1895   0.4057   0.2912   0.0000 -11.4103   0.1120       ML
 subj_108_trials_40   0.9987   5.3313   0.3344   0.1005   0.0000 -56.0819   0.0560       ML
 subj_108_trials_50   1.1913   4.4907   0.3443   0.1295   0.0000 -54.4925   0.0790       ML
 subj_108_trials_60   1.0258   1.9629   0.3036   0.0001   0.0000 -24.4103   0.0420       ML
 subj_109_trials_10   0.5816   1.3762   0.3034   0.0000   0.0000  -9.5928   0.0060       ML
 subj_109_trials_20   0.5481   1.4817   0.3053   0.0000   0.0000 -22.0157   0.0100       ML
 subj_109_trials_30   1.3697   3.5022   0.3513   0.1282   0.0000 -23.4684   0.0530       ML
 subj_109_trials_40   0.7493   0.5194   0.3074   0.0001   0.0000 -14.7260   0.0220       ML
 subj_109_trials_50   1.4009   3.8594   0.2986   0.0000   0.0000 -50.5079   0.0290       ML
 subj_109_trials_60   0.5764   2.3375   0.3030   0.0000   0.0000 -73.8732   0.0290       ML
 subj_10_trials_10   0.5621   3.8657   0.3240   0.0788   0.0000 -13.5385   0.0140       ML
 subj_10_trials_20   1.2837   2.1658   0.3016   0.0000   0.0000  -5.9574   0.0140       ML
 subj_10_trials_30   1.3211   3.6310   0.3477   0.1193   0.0000 -25.6381   0.0510       ML
 subj_10_trials_40   1.0544   3.3283   0.3611   0.2012   0.0000 -26.2882   0.0950       ML
 subj_10_trials_50   0.5869   1.7271   0.3039   0.0000   0.0000 -52.6040   0.0260       ML
 subj_10_trials_60   1.2430   4.3057   0.3424   0.1014   0.0000 -65.7951   0.0850       ML
 subj_110_trials_10   0.9263   0.0021   0.3122   0.0000   0.0000   1.2618   0.0060       ML
 subj_110_trials_20   0.7826   3.6923   0.3597   0.1696   0.0000 -18.2094   0.0440       ML
 subj_110_trials_30   1.1580   5.2051   0.2926   0.0001   0.0000 -46.1346   0.0150       ML
 subj_110_trials_40   1.3180   2.5953   0.3255   0.0000   0.0000 -20.4481   0.0310       ML
 subj_110_trials_50   0.6822   2.8037   0.3022   0.0000   0.0000 -57.8293   0.0280       ML
 subj_110_trials_60   1.1087   3.8632   0.3131   0.0000   0.0000 -69.6134   0.0470       ML
 subj_111_trials_10   0.7547   2.7028   0.3038   0.0000   0.0000 -10.0137   0.0060       ML
 subj_111_trials_20   0.8150   3.5449   0.3648   0.1841   0.0000 -16.5786   0.0420       ML
 subj_111_trials_30   0.8860   3.7005   0.3241   0.0984   0.0000 -31.8040   0.0520       ML
 subj_111_trials_40   1.4006   2.6957   0.2934   0.0663   0.0000 -19.7406   0.0620       ML
 subj_111_trials_50   0.8853   4.2948   0.3205   0.0817   0.0000 -63.7266   0.0600       ML
 subj_111_trials_60   1.5353   2.4698   0.3334   0.0001   0.0000 -20.6870   0.0370       ML
 subj_112_trials_10   0.5623   3.8697   0.3445   0.1386   0.0000 -10.7700   0.0190       ML
 subj_112_trials_20   1.5924   3.2129   0.2903   0.0000   0.0000 -13.5908   0.0130       ML
 subj_112_trials_30   1.2397   2.6302   0.3483   0.2042   0.0000 -10.7734   0.0670       ML
 subj_112_trials_40   0.9889   2.4421   0.3039   0.0000   0.0000 -26.2985   0.0280       ML
 subj_112_trials_50   1.0488   5.1550   0.2992   0.0000   0.0000 -79.4564   0.0230       ML
 subj_112_trials_60   1.4657   2.1200   0.2930   0.0001   0.0000 -10.4157   0.0370       ML
 subj_113_trials_10   1.7505   4.7770   0.3074   0.0000   0.0000 -11.5107   0.0060       ML
 subj_113_trials_20   1.4784   3.5742   0.2963   0.0000   0.0000 -17.4247   0.0110       ML
 subj_113_trials_30   1.1827   4.0540   0.3383   0.0957   0.0000 -32.2604   0.0410       ML
 subj_113_trials_40   0.8201   1.6383   0.3025   0.0000   0.0000 -20.9221   0.0230       ML
 subj_113_trials_50   1.3878   3.8558   0.3601   0.1756   0.0000 -39.2440   0.1140       ML
 subj_113_trials_60   1.6727   4.0858   0.2837   0.0001   0.0000 -58.1832   0.0400       ML
 subj_114_trials_10   2.5885   4.2162   0.2894   0.2052   0.0000  -5.8355   0.0350       ML
 subj_114_trials_20   0.9635   2.9990   0.3906   0.2572   0.0000  -9.8842   0.0580       ML
 subj_114_trials_30   0.7771   4.2181   0.3185   0.0758   0.0000 -39.6664   0.0360       ML
 subj_114_trials_40   0.9806   5.3840   0.3325   0.1030   0.0000 -56.1456   0.0670       ML
 subj_114_trials_50   0.8468   4.3067   0.3110   0.0000   0.0000 -74.0796   0.0240       ML
 subj_114_trials_60   1.0687   5.1735   0.3362   0.1119   0.0000 -78.7242   0.0790       ML
 subj_115_trials_10   0.7694   2.7851   0.3708   0.0952   0.0000  -8.2510   0.0210       ML
 subj_115_trials_20   1.3391   3.4239   0.3334   0.1089   0.0000 -15.7727   0.0290       ML
 subj_115_trials_30   0.8399   0.7979   0.3193   0.0001   0.0000  -6.4419   0.0190       ML
 subj_115_trials_40   0.8160   4.3166   0.3736   0.1465   0.0000 -43.9305   0.0700       ML
 subj_115_trials_50   0.8702   6.4928   0.3482   0.1055   0.0000 -80.1621   0.0790       ML
 subj_115_trials_60   0.9834   2.4478   0.3018   0.0001   0.0000 -40.6994   0.0440       ML
 subj_116_trials_10   2.2111   3.7984   0.3113   0.0000   0.0000  -6.8985   0.0070       ML
 subj_116_trials_20   1.0588   4.8270   0.2958   0.0001   0.0000 -29.8691   0.0100       ML
 subj_116_trials_30   0.7099   0.9442   0.3138   0.0000   0.0000 -16.5207   0.0170       ML
 subj_116_trials_40   1.0338   5.3137   0.3567   0.1386   0.0000 -50.5245   0.0720       ML
 subj_116_trials_50   1.2982   4.2614   0.3615   0.1445   0.0000 -49.3245   0.0930       ML
 subj_116_trials_60   1.0367   4.0128   0.3074   0.0592   0.0000 -70.7430   0.0730       ML
 subj_117_trials_10   0.6892  -0.5508   0.3064   0.0000   0.0000  -4.9789   0.0060       ML
 subj_117_trials_20   1.8026   1.5422   0.3031   0.0001   0.0000   7.6153   0.0160       ML
 subj_117_trials_30   1.0811   4.8276   0.3580   0.1400   0.0000 -35.4207   0.0570       ML
 subj_117_trials_40   0.7020   5.0166   0.3545   0.1085   0.0000 -55.9488   0.0620       ML
 subj_117_trials_50   1.7830   1.7038   0.3111   0.0001   0.0000  12.2107   0.0390       ML
 subj_117_trials_60   1.1781   2.9047   0.3271   0.0508   0.0000 -42.6253   0.0720       ML
 subj_118_trials_10   1.1238   1.8132   0.3084   0.0001   0.0000  -2.0468   0.0070       ML
 subj_118_trials_20   1.8811   1.4375   0.2565   0.0001   0.0000  10.0638   0.0160       ML
 subj_118_trials_30   0.8270   3.5728   0.2932   0.0000   0.0000 -37.4410   0.0140       ML
 subj_118_trials_40   0.9169   3.4432   0.2928   0.0000   0.0000 -45.1090   0.0200       ML
 subj_118_trials_50   1.6056   1.7029   0.2960   0.0001   0.0000   7.9879   0.0410       ML
 subj_118_trials_60   0.8738   1.2187   0.3081   0.0001   0.0000 -16.5889   0.0360       ML
 subj_119_trials_10   1.4358   4.2212   0.3422   0.0000   0.0000 -11.1257   0.0050       ML
 subj_119_trials_20   1.1754   2.4596   0.3241   0.1566   0.0000  -7.4959   0.0430       ML
 subj_119_trials_30   1.2808   0.9037   0.3476   0.0004   0.0000  13.4470   0.0240       ML
 subj_119_trials_40   1.3104   4.0633   0.3591   0.1729   0.0000 -34.3670   0.0940       ML
 subj_119_trials_50   1.2353   4.2349   0.3353   0.0839   0.0000 -55.9024   0.0530       ML
 subj_119_trials_60   1.1618   0.9162   0.3143   0.0001   0.0000  17.5730   0.0430       ML
 subj_11_trials_10   1.0300   2.1121   0.3316   0.1822   0.0000  -2.5250   0.0240       ML
 subj_11_trials_20   1.1876   1.3882   0.3143   0.0000   0.0000   1.7805   0.0160       ML
 subj_11_trials_30   1.2449   2.6658   0.3383   0.1630   0.0000 -13.1497   0.0660       ML
 subj_11_trials_40   1.4915   3.6384   0.2983   0.0002   0.0000 -35.6705   0.0250       ML
 subj_11_trials_50   1.2972   2.1052   0.2975   0.0002   0.0000 -13.2944   0.0370       ML
 subj_11_trials_60   1.1266   3.5356   0.3256   0.1176   0.0000 -52.0740   0.0970       ML
 subj_120_trials_10   0.6378   3.1953   0.3027   0.0000   0.0000 -13.3777   0.0050       ML
 subj_120_trials_20   1.1331   2.5574   0.4075   0.3114   0.0000  -4.4749   0.0600       ML
 subj_120_trials_30   0.9567   6.2811   0.3459   0.1078   0.0000 -46.3378   0.0530       ML
 subj_120_trials_40   0.6003   5.8478   0.3198   0.0654   0.0000 -71.3465   0.0480       ML
 subj_120_trials_50   0.9594   3.1688   0.3032   0.0002   0.0000 -49.7897   0.0280       ML
 subj_120_trials_60   1.1130   0.8828   0.3139   0.0002   0.0000  14.2864   0.0350       ML
 subj_121_trials_10   1.0190   2.1572   0.3789   0.2476   0.0000  -2.2319   0.0360       ML
 subj_121_trials_20   0.6806   2.4232   0.3047   0.0000   0.0000 -20.4875   0.0120       ML
 subj_121_trials_30   0.7553   4.3227   0.3177   0.0753   0.0000 -40.6016   0.0380       ML
 subj_121_trials_40   1.3742   1.3646   0.3127   0.0001   0.0000  10.4780   0.0290       ML
 subj_121_trials_50   1.3153   2.4161   0.3599   0.1844   0.0000 -14.3958   0.1040       ML
 subj_121_trials_60   1.2658   3.9331   0.3509   0.0532   0.0000 -63.9101   0.0450       ML
 subj_122_trials_10   1.0362   1.9678   0.3072   0.0001   0.0000  -3.6714   0.0070       ML
 subj_122_trials_20   1.0579   2.5565   0.2862   0.0001   0.0000 -12.9646   0.0120       ML
 subj_122_trials_30   0.7444   4.5419   0.3152   0.0572   0.0000 -45.1506   0.0320       ML
 subj_122_trials_40   1.1495   4.1574   0.3378   0.0862   0.0000 -45.2068   0.0470       ML
 subj_122_trials_50   1.5242   2.2834   0.2852   0.0000   0.0000 -12.1624   0.0330       ML
 subj_122_trials_60   1.0923   2.2029   0.3022   0.0000   0.0000 -28.0594   0.0500       ML
 subj_123_trials_10   0.6990   3.1062   0.3376   0.1223   0.0000  -9.1381   0.0180       ML
 subj_123_trials_20   1.4065   1.9770   0.3019   0.0000   0.0000  -2.3083   0.0150       ML
 subj_123_trials_30   1.0385   5.4962   0.4371   0.2486   0.0000 -29.2859   0.0840       ML
 subj_123_trials_40   0.8615   3.9752   0.3128   0.0001   0.0000 -54.5427   0.0210       ML
 subj_123_trials_50   1.3917   2.7614   0.3130   0.0001   0.0000 -28.0980   0.0240       ML
 subj_123_trials_60   1.3863   3.8334   0.3522   0.1231   0.0000 -52.5234   0.0870       ML
 subj_124_trials_10   1.4638   4.1347   0.3440   0.0001   0.0000 -10.7206   0.0060       ML
 subj_124_trials_20   0.6901   4.2614   0.3409   0.1121   0.0000 -25.2828   0.0330       ML
 subj_124_trials_30   1.2822   2.5561   0.3503   0.2059   0.0000  -9.6292   0.0790       ML
 subj_124_trials_40   1.5842   1.1819   0.3171   0.0002   0.0000  21.8901   0.0350       ML
 subj_124_trials_50   1.0867   5.0780   0.3321   0.1147   0.0000 -63.5125   0.0760       ML
 subj_124_trials_60   1.4016   1.7173   0.3036   0.0001   0.0000   1.8451   0.0530       ML
 subj_125_trials_10   1.8825   5.7954   0.2944   0.1086   0.0000 -12.2008   0.0200       ML
 subj_125_trials_20   1.6352   1.7005   0.3026   0.0000   0.0000   3.7234   0.0140       ML
 subj_125_trials_30   1.2902   3.7192   0.3448   0.1124   0.0000 -27.1252   0.0440       ML
 subj_125_trials_40   0.7048   4.7569   0.2985   0.0000   0.0000 -69.4567   0.0210       ML
 subj_125_trials_50   1.1311   2.8250   0.3271   0.0489   0.0000 -35.1565   0.0520       ML
 subj_125_trials_60   1.2674   4.4265   0.3492   0.1444   0.0000 -60.9871   0.1100       ML
 subj_126_trials_10   0.6670   1.1983   0.3045   0.0000   0.0000  -6.8514   0.0060       ML
 subj_126_trials_20   1.2331   4.9567   0.3548   0.1481   0.0000 -22.6225   0.0410       ML
 subj_126_trials_30   0.9724   6.0093   0.3644   0.1385   0.0000 -41.5231   0.0610       ML
 subj_126_trials_40   0.8054   4.3722   0.3716   0.1426   0.0000 -44.9743   0.0780       ML
 subj_126_trials_50   0.8860   4.4010   0.3043   0.0000   0.0000 -74.2086   0.0300       ML
 subj_126_trials_60   1.4127   2.1983   0.2935   0.0001   0.0000 -14.8152   0.0360       ML
 subj_127_trials_10   1.2708   4.8248   0.5348   0.5006   0.0000  -3.6169   0.0500       ML
 subj_127_trials_20   1.2673   2.2861   0.4346   0.3898   0.0000   0.0141   0.0720       ML
 subj_127_trials_30   1.6671   3.0598   0.3132   0.0000   0.0000 -17.5600   0.0220       ML
 subj_127_trials_40   0.8563   4.0998   0.3403   0.1327   0.0000 -42.9450   0.0690       ML
 subj_127_trials_50   0.8857   2.1681   0.3012   0.0001   0.0000 -31.9648   0.0290       ML
 subj_127_trials_60   1.0689   0.9183   0.3128   0.0001   0.0000   9.4477   0.0380       ML
 subj_128_trials_10   1.4642   7.4396   0.2967   0.0659   0.0000 -17.2046   0.0140       ML
 subj_128_trials_20   0.6597   1.5907   0.3068   0.0000   0.0000 -16.3162   0.0120       ML
 subj_128_trials_30   1.3575   3.5350   0.3496   0.1243   0.0000 -24.0812   0.0520       ML
 subj_128_trials_40   1.3951   2.5522   0.3699   0.2406   0.0000  -9.9138   0.1230       ML
 subj_128_trials_50   1.6119   2.1597   0.2834   0.0001   0.0000  -6.5859   0.0300       ML
 subj_128_trials_60   1.0367   3.6787   0.3786   0.1703   0.0000 -49.1517   0.1320       ML
 subj_129_trials_10   1.3322   1.5297   0.3118   0.0001   0.0000   1.3529   0.0070       ML
 subj_129_trials_20   1.4280   3.7053   0.2964   0.0000   0.0000 -18.8612   0.0100       ML
 subj_129_trials_30   0.5423   0.7314   0.3070   0.0000   0.0000 -31.3004   0.0160       ML
 subj_129_trials_40   0.9243   0.3144   0.3115   0.0000   0.0000   2.6291   0.0260       ML
 subj_129_trials_50   1.0519   0.7759   0.3111   0.0001   0.0000   9.5088   0.0330       ML
 subj_129_trials_60   1.1633   2.9068   0.3363   0.1211   0.0000 -37.9467   0.1100       ML
 subj_12_trials_10   1.3367   3.1009   0.3089   0.0000   0.0000  -7.4155   0.0060       ML
 subj_12_trials_20   1.4321   3.2021   0.3382   0.1245   0.0000 -13.0864   0.0310       ML
 subj_12_trials_30   0.7269   2.9190   0.3043   0.0000   0.0000 -34.0377   0.0170       ML
 subj_12_trials_40   0.7486   0.5198   0.3073   0.0000   0.0000 -14.8199   0.0200       ML
 subj_12_trials_50   0.7595   1.0778   0.3073   0.0001   0.0000 -23.5024   0.0270       ML
 subj_12_trials_60   0.6064   3.8794   0.3037   0.0000   0.0000 -96.7869   0.0310       ML
 subj_130_trials_10   1.4324   3.0512   0.3019   0.0000   0.0000  -6.7481   0.0070       ML
 subj_130_trials_20   0.9030   3.2084   0.3683   0.1979   0.0000 -13.5475   0.0540       ML
 subj_130_trials_30   1.1691   2.9012   0.3087   0.0902   0.0000 -19.8928   0.0430       ML
 subj_130_trials_40   1.4782   2.4348   0.3562   0.2266   0.0000  -7.5348   0.1130       ML
 subj_130_trials_50   1.4407   2.5873   0.3353   0.0001   0.0000 -22.4809   0.0370       ML
 subj_130_trials_60   0.9719   1.8835   0.3037   0.0000   0.0000 -25.2033   0.0380       ML
 subj_131_trials_10   1.5565   3.2230   0.2745   0.0001   0.0000  -6.9918   0.0080       ML
 subj_131_trials_20   1.4569   1.9841   0.3696   0.1929   0.0000   0.4034   0.0500       ML
 subj_131_trials_30   1.1356   0.5959   0.3435   0.0000   0.0000  11.2048   0.0170       ML
 subj_131_trials_40   2.0247   1.5901   0.2648   0.0003   0.0000  17.1980   0.0300       ML
 subj_131_trials_50   1.2892   2.9176   0.3543   0.2025   0.0000 -23.3212   0.1200       ML
 subj_131_trials_60   0.8853   2.2406   0.3016   0.0001   0.0000 -40.7826   0.0410       ML
 subj_132_trials_10   1.5317   2.7065   0.3099   0.0002   0.0000  -4.6992   0.0060       ML
 subj_132_trials_20   0.8573   1.2242   0.3114   0.0000   0.0000  -5.8374   0.0130       ML
 subj_132_trials_30   0.7678   4.2475   0.3186   0.0785   0.0000 -39.5166   0.0410       ML
 subj_132_trials_40   1.4982   2.3429   0.4232   0.4057   0.0000   1.7871   0.1860       ML
 subj_132_trials_50   1.8034   1.6853   0.3113   0.0001   0.0000  13.3209   0.0380       ML
 subj_132_trials_60   1.0716   0.9944   0.3121   0.0001   0.0000   7.8627   0.0410       ML
 subj_133_trials_10   0.7225   3.0127   0.3748   0.1617   0.0000  -7.5999   0.0210       ML
 subj_133_trials_20   1.4009   1.9858   0.3018   0.0000   0.0000  -2.4728   0.0160       ML
 subj_133_trials_30   1.2173   4.1479   0.3543   0.1635   0.0000 -27.3321   0.0610       ML
 subj_133_trials_40   1.1816   3.0058   0.3537   0.1275   0.0000 -25.7641   0.0710       ML
 subj_133_trials_50   0.5596   2.3844   0.3027   0.0000   0.0000 -63.9176   0.0260       ML
 subj_133_trials_60   0.8116   1.1050   0.3064   0.0000   0.0000 -21.4538   0.0340       ML
 subj_134_trials_10   0.4648   4.6840   0.3156   0.0526   0.0000 -17.4882   0.0120       ML
 subj_134_trials_20   0.7584   1.0707   0.3101   0.0000   0.0000  -9.0307   0.0110       ML
 subj_134_trials_30   1.5639   0.7395   0.3714   0.0001   0.0000  25.4748   0.0260       ML
 subj_134_trials_40   1.1887   0.5029   0.3225   0.0000   0.0000  20.1011   0.0260       ML
 subj_134_trials_50   1.2679   4.2096   0.3368   0.1448   0.0000 -47.7888   0.0990       ML
 subj_134_trials_60   1.3089   3.8301   0.3426   0.0527   0.0000 -60.4998   0.0520       ML
 subj_135_trials_10   1.6259   3.0808   0.2722   0.0000   0.0000  -6.0990   0.0070       ML
 subj_135_trials_20   0.6202   2.6582   0.3039   0.0000   0.0000 -24.2005   0.0110       ML
 subj_135_trials_30   1.0325   3.1596   0.3335   0.1416   0.0000 -21.7647   0.0560       ML
 subj_135_trials_40   0.8481   4.3152   0.3199   0.0732   0.0000 -53.2567   0.0480       ML
 subj_135_trials_50   0.6156   0.9040   0.3044   0.0000   0.0000 -40.2993   0.0260       ML
 subj_135_trials_60   1.0478   4.0769   0.3069   0.0000   0.0000 -76.3064   0.0360       ML
 subj_136_trials_10   0.6505   3.3387   0.3325   0.1059   0.0000 -10.5828   0.0160       ML
 subj_136_trials_20   0.6149   4.6993   0.3370   0.1049   0.0000 -27.8420   0.0320       ML
 subj_136_trials_30   1.1799   4.9538   0.3948   0.2039   0.0000 -29.9291   0.0820       ML
 subj_136_trials_40   1.1848   4.4947   0.3484   0.1414   0.0000 -42.4263   0.0690       ML
 subj_136_trials_50   0.8458   4.4458   0.3233   0.0871   0.0000 -65.4684   0.0670       ML
 subj_136_trials_60   1.1177   5.0508   0.3337   0.1026   0.0000 -78.0742   0.0700       ML
 subj_137_trials_10   1.1478   5.2730   0.3271   0.0000   0.0000 -15.5859   0.0050       ML
 subj_137_trials_20   0.7858   0.4949   0.3125   0.0000   0.0000  -5.4586   0.0120       ML
 subj_137_trials_30   0.7740   1.4946   0.3174   0.0000   0.0000 -16.7924   0.0190       ML
 subj_137_trials_40   1.2960   1.0370   0.3062   0.0001   0.0000  15.6940   0.0300       ML
 subj_137_trials_50   0.8571   3.7067   0.3255   0.0785   0.0000 -57.2178   0.0620       ML
 subj_137_trials_60   1.3761   3.9233   0.3342   0.0001   0.0000 -62.8415   0.0300       ML
 subj_138_trials_10   1.1883   0.6723   0.3141   0.0001   0.0000   4.6947   0.0070       ML
 subj_138_trials_20   0.6008   2.7374   0.3037   0.0001   0.0000 -25.4374   0.0110       ML
 subj_138_trials_30   1.1653   0.8455   0.3419   0.0003   0.0000   9.7232   0.0160       ML
 subj_138_trials_40   0.7953   0.8860   0.3097   0.0000   0.0000 -13.2048   0.0200       ML
 subj_138_trials_50   1.1424   4.6514   0.3354   0.1109   0.0000 -59.1165   0.0760       ML
 subj_138_trials_60   0.7482   5.4957   0.3040   0.0311   0.0000 -108.9577   0.0420       ML
 subj_139_trials_10   1.3718   3.1802   0.3021   0.0003   0.0000  -7.5784   0.0080       ML
 subj_139_trials_20   1.3690   3.3712   0.3190   0.0968   0.0000 -15.2474   0.0260       ML
 subj_139_trials_30   1.3457   2.1965   0.2821   0.0001   0.0000  -8.2447   0.0190       ML
 subj_139_trials_40   0.9777   5.3987   0.3324   0.1026   0.0000 -56.3488   0.0590       ML
 subj_139_trials_50   0.5999   1.3708   0.3045   0.0000   0.0000 -47.0398   0.0280       ML
 subj_139_trials_60   1.0235   2.1021   0.3062   0.0000   0.0000 -28.1647   0.0420       ML
 subj_13_trials_10   1.5070   3.3235   0.2761   0.0000   0.0000  -7.6184   0.0070       ML
 subj_13_trials_20   0.8382   1.2519   0.3109   0.0000   0.0000  -6.7395   0.0120       ML
 subj_13_trials_30   0.9868   1.1725   0.3282   0.0001   0.0000  -2.2191   0.0200       ML
 subj_13_trials_40   0.9569   3.8239   0.3254   0.0932   0.0000 -43.5961   0.0550       ML
 subj_13_trials_50   1.6534   3.6274   0.2978   0.0000   0.0000 -41.0086   0.0410       ML
 subj_13_trials_60   1.5241   4.5238   0.2854   0.0000   0.0000 -70.0466   0.0360       ML
 subj_140_trials_10   1.3924   4.2870   0.3390   0.0000   0.0000 -11.5319   0.0090       ML
 subj_140_trials_20   0.6292   4.5924   0.3386   0.1097   0.0000 -26.9306   0.0330       ML
 subj_140_trials_30   0.7682   2.7543   0.3049   0.0000   0.0000 -30.6622   0.0210       ML
 subj_140_trials_40   0.7600   4.8151   0.3160   0.0589   0.0000 -62.0337   0.0440       ML
 subj_140_trials_50   1.7745   1.5395   0.2952   0.0004   0.0000  18.0243   0.0460       ML
 subj_140_trials_60   1.6875   4.0929   0.2821   0.0000   0.0000 -57.9545   0.0570       ML
 subj_141_trials_10   0.9938   0.8042   0.3099   0.0001   0.0000   1.1232   0.0070       ML
 subj_141_trials_20   1.0727   2.6938   0.4122   0.3187   0.0000  -5.5959   0.0670       ML
 subj_141_trials_30   0.5382   1.2615   0.3098   0.0000   0.0000 -33.6205   0.0160       ML
 subj_141_trials_40   1.2844   0.4649   0.3264   0.0002   0.0000  26.3074   0.0340       ML
 subj_141_trials_50   1.3680   5.3032   0.2948   0.0000   0.0000 -72.6656   0.0240       ML
 subj_141_trials_60   1.3902   2.9581   0.3140   0.1069   0.0000 -34.5799   0.1010       ML
 subj_142_trials_10   1.1456   0.6976   0.3132   0.0000   0.0000   3.9627   0.0070       ML
 subj_142_trials_20   1.0010   0.8123   0.3176   0.0001   0.0000   2.0702   0.0120       ML
 subj_142_trials_30   1.0966   4.6511   0.3057   0.0000   0.0000 -42.6832   0.0130       ML
