  dataset        a        v       t0      st0  penalty      fit     time   method
 subj_112_trials_50   0.7490   6.9355   0.3377   0.0998   0.0000   0.9945   0.0380       KS
 subj_112_trials_60   1.6246   2.3916   0.2618   0.0002   0.0000   0.9972   0.0780       KS
 subj_113_trials_10   1.1705   3.7873   0.3451   0.1395   0.0000   0.9998   0.0220       KS
 subj_113_trials_20   0.9989   3.2618   0.3569   0.0975   0.0000   0.9937   0.0160       KS
 subj_113_trials_30   0.9689   4.6090   0.3694   0.0021   0.0000   0.9395   0.0150       KS
 subj_113_trials_40   0.8643   1.6583   0.2901   0.0464   0.0000   0.9996   0.0320       KS
 subj_113_trials_50   1.2426   4.2717   0.3855   0.1956   0.0000   0.9743   0.0370       KS
 subj_113_trials_60   1.1420   3.7049   0.3387   0.1207   0.0000   0.9940   0.0320       KS
 subj_114_trials_10   1.1900   2.4365   0.4034   0.1297   0.0000   1.0000   0.0310       KS
 subj_114_trials_20   0.7299   2.7428   0.4329   0.2443   0.0000   0.9998   0.0220       KS
 subj_114_trials_30   0.8598   6.9523   0.3263   0.1063   0.0000   0.9997   0.0310       KS
 subj_114_trials_40   0.8492   5.6661   0.3457   0.1162   0.0000   0.9743   0.0320       KS
 subj_114_trials_50   1.4331   7.6770   0.2995   0.0825   0.0000   0.9505   0.0370       KS
 subj_114_trials_60   0.9078   5.3638   0.3517   0.1377   0.0000   0.9969   0.0270       KS
 subj_115_trials_10   0.7066   2.7073   0.3630   0.0975   0.0000   0.9998   0.0320       KS
 subj_115_trials_20   1.0291   3.2912   0.3695   0.0383   0.0000   0.8513   0.0000       KS
 subj_115_trials_30   0.8970   0.7692   0.2974   0.1125   0.0000   0.9687   0.0260       KS
 subj_115_trials_40   0.7906   5.7298   0.3874   0.1839   0.0000   0.9613   0.0320       KS
 subj_115_trials_50   0.6149   6.2676   0.3670   0.1080   0.0000   0.9559   0.0150       KS
 subj_115_trials_60   0.9530   3.1018   0.3139   0.1570   0.0000   0.9996   0.0470       KS
 subj_116_trials_10   1.5367   3.0326   0.3648   0.1544   0.0000   0.9998   0.0220       KS
 subj_116_trials_20   0.6774   4.2251   0.3300   0.0466   0.0000   0.9954   0.0160       KS
 subj_116_trials_30   0.7449   0.9488   0.3009   0.0976   0.0000   0.9614   0.0310       KS
 subj_116_trials_40   0.5986   4.5360   0.3985   0.1583   0.0000   0.9720   0.0160       KS
 subj_116_trials_50   0.8543   4.2795   0.4133   0.1432   0.0000   0.9704   0.0370       KS
 subj_116_trials_60   1.1463   5.1787   0.3152   0.1202   0.0000   0.9996   0.0320       KS
 subj_117_trials_10   0.7681  -0.2857   0.2837   0.0006   0.0000   0.9901   0.0150       KS
 subj_117_trials_20   1.8447   1.9802   0.3304   0.5372   0.0000   0.9929   0.1230       KS
 subj_117_trials_30   0.6735   4.5795   0.4056   0.1292   0.0000   0.9242   0.0310       KS
 subj_117_trials_40   0.5343   5.3427   0.3737   0.1275   0.0000   0.9663   0.0160       KS
 subj_117_trials_50   1.9106   2.1119   0.3099   0.4039   0.0000   0.9820   0.1160       KS
 subj_117_trials_60   1.5519   4.3647   0.3159   0.1813   0.0000   0.9811   0.0840       KS
 subj_118_trials_10   1.2250   2.7064   0.2761   0.0220   0.0000   0.9998   0.0160       KS
 subj_118_trials_20   1.9768   1.4145   0.1819   0.0001   0.0000   0.9785   0.0700       KS
 subj_118_trials_30   1.2316   4.5860   0.2552   0.0188   0.0000   0.8914   0.0160       KS
 subj_118_trials_40   1.3490   4.7112   0.2587   0.0375   0.0000   0.9270   0.0210       KS
 subj_118_trials_50   1.6493   2.5689   0.3577   0.4646   0.0000   0.9996   0.1000       KS
 subj_118_trials_60   0.9484   1.2553   0.2848   0.0045   0.0000   0.9979   0.0320       KS
 subj_119_trials_10   1.4862   4.0936   0.3343   0.0873   0.0000   1.0000   0.0310       KS
 subj_119_trials_20   0.8148   2.4260   0.3932   0.1575   0.0000   0.9997   0.0380       KS
 subj_119_trials_30   1.3810   0.8769   0.3063   0.0868   0.0000   0.9996   0.0470       KS
 subj_119_trials_40   1.0033   4.0881   0.3973   0.1875   0.0000   0.9653   0.0460       KS
 subj_119_trials_50   1.0582   4.2824   0.3548   0.0525   0.0000   0.9648   0.0160       KS
 subj_119_trials_60   1.2588   0.9488   0.2737   0.0526   0.0000   0.9976   0.0470       KS
 subj_11_trials_10   0.9502   1.6461   0.3394   0.1126   0.0000   1.0000   0.0310       KS
 subj_11_trials_20   1.2619   1.4961   0.2770   0.0034   0.0000   0.9987   0.0220       KS
 subj_11_trials_30   1.2750   3.0389   0.3368   0.1593   0.0000   0.9998   0.0310       KS
 subj_11_trials_40   1.1802   5.0528   0.3655   0.1984   0.0000   0.9997   0.0380       KS
 subj_11_trials_50   1.2941   3.1925   0.3432   0.3268   0.0000   0.9997   0.0630       KS
 subj_11_trials_60   1.2591   4.1832   0.3203   0.1442   0.0000   0.9976   0.0690       KS
 subj_120_trials_10   0.5739   3.6124   0.3027   0.0032   0.0000   0.9999   0.0150       KS
 subj_120_trials_20   1.2591   3.7477   0.4044   0.3849   0.0000   1.0000   0.1160       KS
 subj_120_trials_30   0.6360   5.3195   0.3692   0.1154   0.0000   0.9966   0.0160       KS
 subj_120_trials_40   0.5945   8.9699   0.3273   0.0904   0.0000   1.0000   0.0220       KS
 subj_120_trials_50   1.0830   4.0894   0.2991   0.1164   0.0000   0.9859   0.0310       KS
 subj_120_trials_60   1.2101   0.9021   0.2726   0.0124   0.0000   0.9930   0.0540       KS
 subj_121_trials_10   0.9207   2.1369   0.4024   0.1574   0.0000   0.9998   0.0150       KS
 subj_121_trials_20   0.7287   2.6667   0.2915   0.0005   0.0000   0.9988   0.0160       KS
 subj_121_trials_30   0.6735   6.5227   0.3328   0.1103   0.0000   0.9996   0.0310       KS
 subj_121_trials_40   1.4581   1.5440   0.2927   0.2621   0.0000   0.9990   0.0700       KS
 subj_121_trials_50   1.2830   2.8830   0.3721   0.2156   0.0000   1.0000   0.0480       KS
 subj_121_trials_60   1.2881   4.1396   0.3516   0.0381   0.0000   0.9014   0.0200       KS
 subj_122_trials_10   1.0617   2.7326   0.2874   0.0060   0.0000   0.9999   0.0270       KS
 subj_122_trials_20   1.1846   2.7123   0.2533   0.0035   0.0000   0.9769   0.0160       KS
 subj_122_trials_30   0.7887   5.4248   0.3142   0.0458   0.0000   0.9998   0.0160       KS
 subj_122_trials_40   1.1853   5.0997   0.3481   0.0390   0.0000   0.8473   0.0150       KS
 subj_122_trials_50   1.7642   2.5507   0.2430   0.0005   0.0000   0.9931   0.0420       KS
 subj_122_trials_60   1.0594   2.7924   0.3171   0.1947   0.0000   0.9996   0.0310       KS
 subj_123_trials_10   0.5996   2.4625   0.3458   0.0975   0.0000   0.9999   0.0160       KS
 subj_123_trials_20   1.4935   2.6272   0.3122   0.3327   0.0000   0.9932   0.0690       KS
 subj_123_trials_30   0.7041   4.2635   0.4630   0.2597   0.0000   0.9612   0.0380       KS
 subj_123_trials_40   0.9663   5.0172   0.3110   0.0880   0.0000   0.9670   0.0310       KS
 subj_123_trials_50   1.6011   3.0744   0.2902   0.0526   0.0000   0.9996   0.0470       KS
 subj_123_trials_60   1.2451   4.0565   0.3740   0.1024   0.0000   0.9803   0.0220       KS
 subj_124_trials_10   1.2287   3.5292   0.3576   0.0945   0.0000   1.0000   0.0160       KS
 subj_124_trials_20   0.6765   5.0417   0.3443   0.1146   0.0000   1.0000   0.0230       KS
 subj_124_trials_30   0.9078   2.9842   0.4207   0.2576   0.0000   0.9998   0.0450       KS
 subj_124_trials_40   1.6865   1.3470   0.2887   0.3525   0.0000   0.9990   0.1320       KS
 subj_124_trials_50   1.1781   5.2565   0.3243   0.1255   0.0000   0.9847   0.0170       KS
 subj_124_trials_60   1.3593   2.1758   0.3280   0.3215   0.0000   0.9996   0.0710       KS
 subj_125_trials_10   0.8405   3.1776   0.3574   0.0590   0.0000   1.0000   0.0150       KS
 subj_125_trials_20   2.0259   2.4150   0.2732   0.3913   0.0000   0.9917   0.0590       KS
 subj_125_trials_30   1.1627   4.5942   0.3765   0.0377   0.0000   0.9345   0.0160       KS
 subj_125_trials_40   0.9663   6.3861   0.2857   0.0209   0.0000   0.9973   0.0250       KS
 subj_125_trials_50   1.3720   3.8954   0.3156   0.1530   0.0000   0.9989   0.0500       KS
 subj_125_trials_60   0.8506   3.6577   0.3872   0.1586   0.0000   0.9959   0.0480       KS
 subj_126_trials_10   0.6462   1.2429   0.2909   0.0020   0.0000   0.9833   0.0000       KS
 subj_126_trials_20   0.8846   4.7306   0.3861   0.1575   0.0000   0.9973   0.0210       KS
 subj_126_trials_30   0.6736   5.9360   0.3916   0.1576   0.0000   0.9637   0.0310       KS
 subj_126_trials_40   0.7906   5.8846   0.3849   0.1797   0.0000   0.9611   0.0470       KS
 subj_126_trials_50   0.8953   4.8939   0.3080   0.0602   0.0000   0.9994   0.0380       KS
 subj_126_trials_60   1.4747   2.3638   0.2761   0.0375   0.0000   0.9975   0.0570       KS
 subj_127_trials_10   1.6722   1.9495   0.3058   0.1785   0.0000   0.9934   0.0280       KS
 subj_127_trials_20   1.4603   3.4042   0.4251   0.4824   0.0000   1.0000   0.1160       KS
 subj_127_trials_30   1.0836   4.5467   0.4350   0.2537   0.0000   0.9643   0.1000       KS
 subj_127_trials_40   0.9708   6.5916   0.3482   0.1846   0.0000   1.0000   0.0470       KS
 subj_127_trials_50   0.9242   2.2466   0.2904   0.0039   0.0000   1.0000   0.0380       KS
 subj_127_trials_60   1.1608   0.9412   0.2751   0.0380   0.0000   0.9926   0.0310       KS
 subj_128_trials_10   0.8956   6.2124   0.3252   0.0629   0.0000   1.0000   0.0160       KS
 subj_128_trials_20   0.6162   2.1932   0.3047   0.1087   0.0000   0.9645   0.0150       KS
 subj_128_trials_30   1.2175   4.2806   0.3839   0.0064   0.0000   0.9370   0.0070       KS
 subj_128_trials_40   1.6423   3.9885   0.3871   0.3576   0.0000   1.0000   0.1310       KS
 subj_128_trials_50   1.7498   2.3122   0.2507   0.0375   0.0000   0.9938   0.0470       KS
 subj_128_trials_60   1.3875   4.9860   0.3566   0.1979   0.0000   0.9194   0.0850       KS
 subj_129_trials_10   1.3872   2.1667   0.2756   0.0000   0.0000   0.9999   0.0530       KS
 subj_129_trials_20   0.9078   3.1699   0.3579   0.1026   0.0000   0.9937   0.0160       KS
 subj_129_trials_30   0.5695   0.9787   0.3021   0.0000   0.0000   0.9958   0.0150       KS
 subj_129_trials_40   0.9758   0.4128   0.2902   0.1350   0.0000   0.9794   0.0320       KS
 subj_129_trials_50   1.1370   0.8118   0.2727   0.0014   0.0000   0.9822   0.0390       KS
 subj_129_trials_60   1.7276   4.3375   0.3040   0.1716   0.0000   0.9948   0.0620       KS
 subj_12_trials_10   1.1414   2.2297   0.3110   0.0004   0.0000   0.9821   0.0210       KS
 subj_12_trials_20   1.1592   3.2357   0.3739   0.0525   0.0000   0.8482   0.0160       KS
 subj_12_trials_30   0.6068   4.0187   0.3244   0.0868   0.0000   0.9991   0.0150       KS
 subj_12_trials_40   0.7681   0.7582   0.2960   0.0038   0.0000   0.9754   0.0310       KS
 subj_12_trials_50   0.8066   1.1308   0.2928   0.0087   0.0000   0.9984   0.0320       KS
 subj_12_trials_60   0.6005   4.5677   0.3028   0.0375   0.0000   0.9960   0.0060       KS
 subj_130_trials_10   1.2187   2.2276   0.3100   0.0014   0.0000   0.9979   0.0000       KS
 subj_130_trials_20   1.1420   5.0017   0.3569   0.2457   0.0000   1.0000   0.0620       KS
 subj_130_trials_30   0.7322   3.2583   0.3841   0.1907   0.0000   0.9998   0.0380       KS
 subj_130_trials_40   1.8938   3.2924   0.3303   0.3185   0.0000   1.0000   0.0850       KS
 subj_130_trials_50   1.5081   4.7996   0.4070   0.3113   0.0000   0.9806   0.0860       KS
 subj_130_trials_60   0.9820   2.0304   0.3011   0.0925   0.0000   0.9999   0.0300       KS
 subj_131_trials_10   1.0834   2.4731   0.3292   0.0989   0.0000   0.9816   0.0320       KS
 subj_131_trials_20   1.8179   3.8808   0.3926   0.3099   0.0000   0.9957   0.0690       KS
 subj_131_trials_30   1.1890   0.5351   0.3199   0.1537   0.0000   0.9963   0.0470       KS
 subj_131_trials_40   2.3892   1.7418   0.1718   0.0527   0.0000   0.9864   0.1220       KS
 subj_131_trials_50   1.3261   3.5038   0.3603   0.2647   0.0000   1.0000   0.1470       KS
 subj_131_trials_60   0.8638   2.4858   0.3047   0.0737   0.0000   1.0000   0.0270       KS
 subj_132_trials_10   1.2261   1.7717   0.3321   0.0007   0.0000   0.9806   0.0110       KS
 subj_132_trials_20   0.8964   1.3881   0.2847   0.0153   0.0000   0.9837   0.0160       KS
 subj_132_trials_30   0.6339   6.0046   0.3365   0.1125   0.0000   0.9996   0.0310       KS
 subj_132_trials_40   1.8697   3.8951   0.4314   0.5646   0.0000   1.0000   0.1690       KS
 subj_132_trials_50   1.7963   1.9797   0.3337   0.4038   0.0000   0.9820   0.1160       KS
 subj_132_trials_60   1.1586   0.9999   0.2797   0.0004   0.0000   0.9978   0.0310       KS
 subj_133_trials_10   0.7091   2.3746   0.3599   0.1212   0.0000   1.0000   0.0210       KS
 subj_133_trials_20   1.4332   2.5484   0.3184   0.3241   0.0000   0.9930   0.0620       KS
 subj_133_trials_30   0.7010   3.8216   0.4153   0.1913   0.0000   0.9886   0.0160       KS
 subj_133_trials_40   1.5517   4.1037   0.3311   0.1656   0.0000   0.9997   0.0370       KS
 subj_133_trials_50   0.5911   2.4212   0.2962   0.0008   0.0000   0.9998   0.0160       KS
 subj_133_trials_60   0.8736   1.1341   0.2867   0.0375   0.0000   0.9942   0.0320       KS
 subj_134_trials_10   0.4326   5.0796   0.3144   0.0525   0.0000   0.9998   0.0210       KS
 subj_134_trials_20   0.7699   1.1332   0.2924   0.0024   0.0000   0.9817   0.0160       KS
 subj_134_trials_30   1.6938   0.7100   0.3076   0.0526   0.0000   0.9997   0.0840       KS
 subj_134_trials_40   1.2671   0.5523   0.2788   0.0030   0.0000   0.9926   0.0630       KS
 subj_134_trials_50   1.2441   4.5225   0.3435   0.1654   0.0000   0.9850   0.0310       KS
 subj_134_trials_60   1.2360   3.7729   0.3482   0.0008   0.0000   0.9516   0.0150       KS
 subj_135_trials_10   1.2114   2.5495   0.3215   0.0675   0.0000   0.9820   0.0340       KS
 subj_135_trials_20   0.6636   2.9274   0.2930   0.0018   0.0000   0.9988   0.0160       KS
 subj_135_trials_30   0.7201   3.6150   0.3783   0.1875   0.0000   0.9997   0.0200       KS
 subj_135_trials_40   0.8505   4.9026   0.3249   0.0635   0.0000   0.9996   0.0310       KS
 subj_135_trials_50   0.6544   1.0453   0.2912   0.0525   0.0000   0.9633   0.0160       KS
 subj_135_trials_60   1.0149   4.6061   0.3168   0.0968   0.0000   0.9660   0.0160       KS
 subj_136_trials_10   0.5604   2.5367   0.3414   0.0538   0.0000   0.9999   0.0220       KS
 subj_136_trials_20   0.5219   5.5020   0.3483   0.1112   0.0000   0.9998   0.0170       KS
 subj_136_trials_30   0.7906   4.5894   0.4351   0.2280   0.0000   0.9653   0.0480       KS
 subj_136_trials_40   0.8909   4.3893   0.3800   0.1498   0.0000   0.9659   0.0510       KS
 subj_136_trials_50   0.9077   5.4535   0.3237   0.1112   0.0000   1.0000   0.0310       KS
 subj_136_trials_60   1.0324   5.6122   0.3470   0.1261   0.0000   0.9983   0.0310       KS
 subj_137_trials_10   0.9077   4.7634   0.3426   0.0676   0.0000   1.0000   0.0220       KS
 subj_137_trials_20   0.7475   0.4593   0.3032   0.1178   0.0000   0.9563   0.0320       KS
 subj_137_trials_30   0.7845   1.6630   0.3132   0.1126   0.0000   0.9964   0.0150       KS
 subj_137_trials_40   1.3652   1.0505   0.2754   0.1444   0.0000   0.9996   0.0540       KS
 subj_137_trials_50   1.0053   4.9699   0.3193   0.0868   0.0000   1.0000   0.0160       KS
 subj_137_trials_60   1.2148   4.1012   0.3548   0.0099   0.0000   0.9146   0.0160       KS
 subj_138_trials_10   1.1505   0.6968   0.2715   0.0016   0.0000   0.9836   0.0310       KS
 subj_138_trials_20   0.6243   2.7949   0.2964   0.0015   0.0000   0.9985   0.0050       KS
 subj_138_trials_30   1.2712   0.7813   0.3044   0.0526   0.0000   0.9993   0.0470       KS
 subj_138_trials_40   0.8411   0.8360   0.2908   0.0000   0.0000   0.9917   0.0310       KS
 subj_138_trials_50   1.0379   5.1545   0.3510   0.1287   0.0000   0.9657   0.0220       KS
 subj_138_trials_60   0.7792   6.7362   0.3083   0.0500   0.0000   0.9999   0.0160       KS
 subj_139_trials_10   1.1584   2.2946   0.3110   0.0017   0.0000   0.9978   0.0160       KS
 subj_139_trials_20   0.8297   2.4152   0.3857   0.0377   0.0000   0.8404   0.0000       KS
 subj_139_trials_30   1.5447   2.3406   0.2313   0.0375   0.0000   0.9282   0.0320       KS
 subj_139_trials_40   0.8492   5.6867   0.3453   0.1156   0.0000   0.9743   0.0220       KS
 subj_139_trials_50   0.6235   1.5184   0.2972   0.0525   0.0000   0.9925   0.0160       KS
 subj_139_trials_60   1.0324   2.3092   0.3055   0.0877   0.0000   1.0000   0.0310       KS
 subj_13_trials_10   1.0430   2.5076   0.3288   0.0593   0.0000   0.9821   0.0150       KS
 subj_13_trials_20   0.8749   1.4180   0.2857   0.0018   0.0000   0.9843   0.0380       KS
 subj_13_trials_30   1.0635   1.1292   0.3041   0.0376   0.0000   0.9997   0.0320       KS
 subj_13_trials_40   1.4606   5.9207   0.3090   0.1435   0.0000   0.9998   0.0310       KS
 subj_13_trials_50   0.9234   5.1319   0.4168   0.2413   0.0000   0.9989   0.0550       KS
 subj_13_trials_60   1.1816   4.4415   0.3215   0.1125   0.0000   0.9994   0.0320       KS
 subj_140_trials_10   1.3364   3.8271   0.3352   0.0678   0.0000   1.0000   0.0200       KS
 subj_140_trials_20   0.5290   4.9968   0.3501   0.1130   0.0000   0.9998   0.0310       KS
 subj_140_trials_30   0.6976   4.2657   0.3221   0.1008   0.0000   0.9991   0.0160       KS
 subj_140_trials_40   0.8640   6.0109   0.3151   0.0604   0.0000   0.9997   0.0310       KS
 subj_140_trials_50   1.6716   2.2348   0.3958   0.6015   0.0000   0.9997   0.1160       KS
 subj_140_trials_60   1.3525   4.0398   0.3210   0.1330   0.0000   0.9995   0.0320       KS
 subj_141_trials_10   0.9617   0.8399   0.2797   0.0378   0.0000   0.9833   0.0160       KS
 subj_141_trials_20   1.1447   3.5590   0.4134   0.3525   0.0000   0.9998   0.0920       KS
 subj_141_trials_30   0.5234   1.3220   0.3118   0.0675   0.0000   0.9901   0.0150       KS
 subj_141_trials_40   1.3693   0.5112   0.2752   0.0059   0.0000   0.9926   0.0620       KS
 subj_141_trials_50   0.9077   6.5813   0.3493   0.1145   0.0000   0.9642   0.0310       KS
 subj_141_trials_60   1.5529   3.7505   0.3201   0.2035   0.0000   0.9998   0.0540       KS
 subj_142_trials_10   1.0956   0.6158   0.2856   0.0375   0.0000   0.9829   0.0400       KS
 subj_142_trials_20   1.0215   0.8599   0.2854   0.0375   0.0000   0.9805   0.0310       KS
 subj_142_trials_30   0.4737   5.1350   0.3752   0.0979   0.0000   0.9766   0.0130       KS
 subj_142_trials_40   1.0249   4.4602   0.3948   0.1725   0.0000   0.9629   0.0160       KS
 subj_142_trials_50   0.5738   4.3318   0.4358   0.1952   0.0000   0.9835   0.0160       KS
 subj_142_trials_60   1.4165   3.0571   0.3076   0.1938   0.0000   0.9971   0.0540       KS
 subj_143_trials_10   0.6529   1.2269   0.2908   0.0025   0.0000   0.9833   0.0160       KS
 subj_143_trials_20   1.1711   2.6693   0.2550   0.0059   0.0000   0.9772   0.0160       KS
